INFY	INFOSYS LIMITED
TATASTEEL	TATA STEEL LIMITED
AUROPHARMA	AUROBINDO PHARMA LTD
AXISBANK	AXIS BANK LIMITED
TATAMOTORS	TATA MOTORS LIMITED
RELIANCE	RELIANCE INDUSTRIES LTD
VEDL	VEDANTA LIMITED
SBIN	STATE BANK OF INDIA
HINDPETRO	HINDUSTAN PETROLEUM CORP
ONGC	OIL AND NATURAL GAS CORP.
IOC	INDIAN OIL CORP LTD
SUNTV	SUN TV NETWORK LIMITED
HDFC	HDFC LTD
BPCL	BHARAT PETROLEUM CORP  LT
ICICIBANK	ICICI BANK LTD.
ABAN	ABAN OFFSHORE LTD.
IBREALEST	INDIABULLS REAL EST. LTD
GITANJALI	GITANJALI GEMS LIMITED
PNB	PUNJAB NATIONAL BANK
DABUR	DABUR INDIA LTD
TCS	TATA CONSULTANCY SERV LT
KWALITY	KWALITY LIMITED
IDBI	IDBI BANK LIMITED
HINDALCO	HINDALCO  INDUSTRIES  LTD
YESBANK	YES BANK LIMITED
JUBLFOOD	JUBILANT FOODWORKS LTD
ITC	ITC LTD
TECHM	TECH MAHINDRA LIMITED
LUPIN	LUPIN LIMITED
RCOM	RELIANCE COMMUNICATIONS L
HINDUNILVR	HINDUSTAN UNILEVER LTD.
GAIL	GAIL (INDIA) LTD
ASIANPAINT	ASIAN PAINTS LIMITED
RELCAPITAL	RELIANCE CAPITAL LTD
BAJFINANCE	BAJAJ FINANCE LIMITED
BHARTIARTL	BHARTI AIRTEL LIMITED
NTPC	NTPC LTD
TATAMTRDVR	TATA MOTORS DVR 'A' ORD
HCLTECH	HCL TECHNOLOGIES LTD
BHEL	BHEL
RELINFRA	RELIANCE INFRASTRUCTU LTD
SANGHVIMOV	SANGHVI MOVERS LTD
HAVELLS	HAVELLS INDIA LIMITED
MCX	MULTI COMMODITY EXCHANGE
COALINDIA	COAL INDIA LTD
ARVIND	ARVIND LIMITED
JKIL	JKUMAR INFR.LTD.
SUNPHARMA	SUN PHARMACEUTICALS IND.
LICHSGFIN	LIC HOUSING FINANCE LTD
SOUTHBANK	THE SOUTH INDIAN BANK LTD
ASTEC	ASTEC LIFESCIENCES LTD
CANBK	CANARA BANK
ENGINERSIN	ENGINEERS INDIA LTD
LT	LARSEN & TOUBRO LTD.
IBULHSGFIN	INDIABULLS HSG FIN LTD
BANKBARODA	BANK OF BARODA
RBLBANK	RBL BANK LIMITED
M&M	MAHINDRA & MAHINDRA LTD
CENTURYTEX	CENTURY TEXTILES LTD
MRPL	MRPL
ESCORTS	ESCORTS INDIA LTD
HDIL	HOUSING DEV & INFRA LTD
DELTACORP	DELTA CORP LIMITED
BHARATFORG	BHARAT FORGE LTD
DHFL	DEWAN HOUSING FIN CORP LT
JINDALSTEL	JINDAL STEEL & POWER LTD
GSFC	GUJ STATE FERT & CHEM LTD
DLF	DLF LIMITED
IGL	INDRAPRASTHA GAS LTD
NMDC	NMDC LTD.
IDFCBANK	IDFC BANK LIMITED
CAIRN	CAIRN INDIA LIMITED
JETAIRWAYS	JET AIRWAYS (INDIA) LTD.
TATAPOWER	TATA POWER CO LTD
MARUTI	MARUTI SUZUKI INDIA LTD.
TATAGLOBAL	TATA GLOBAL BEVERAGES LTD
BAJAJ-AUTO	BAJAJ AUTO LIMITED
CIPLA	CIPLA LTD
GODREJCP	GODREJ CONSUMER PRODUCTS
DISHMAN	DISHMAN PHARMA & CHEM LTD
INDUSINDBK	INDUSIND BANK LIMITED
BOMDYEING	BOMBAY DYEING & MFG. CO L
